Data source record id	NCBI tax id	BioSample	BioProject	Data source organism name	NCBI scientific name	RDP taxa	Data source lineage	NCBI taxonomic lineage	RDP taxonomic lineage	basecount	16S gene count	23S gene count	tRNA gene count	Curator	Evidence	Note	References	rrnDB version
rrnDBv3-1418	28090			Acinetobacter lwoffii BG8 (ATCC 17925)	Acinetobacter lwoffii		1418|rrnDBv3 strain_id; rrnDBv3-1418|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; lwoffii|species; none|subspecies; BG8 (ATCC 17925)|strain(s)				6			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1419	40216			Acinetobacter radioresistens BG12 (SEIP 12.81)	Acinetobacter radioresistens		1419|rrnDBv3 strain_id; rrnDBv3-1419|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; radioresistens|species; none|subspecies; BG12 (SEIP 12.81)|strain(s)				6			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1420	1217988			Acinetobacter schindleri LUH 5832	Acinetobacter schindleri CIP 107287		1420|rrnDBv3 strain_id; rrnDBv3-1420|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; schindleri|species; none|subspecies; LUH 5832|strain(s)				6			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1421	1120927			Acinetobacter tandoii DSM 14670	Acinetobacter tandoii DSM 14970 = CIP 107469		1421|rrnDBv3 strain_id; rrnDBv3-1421|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; tandoii|species; none|subspecies; DSM 14670|strain(s)				6			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1422	202955			Acinetobacter tjernbergiae DSM 14966 (7B02)	Acinetobacter tjernbergiae		1422|rrnDBv3 strain_id; rrnDBv3-1422|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; tjernbergiae|species; none|subspecies; DSM 14966 (7B02)|strain(s)				6			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1423	1120929			Acinetobacter towneri DSM 14962	Acinetobacter towneri DSM 14962 = CIP 107472		1423|rrnDBv3 strain_id; rrnDBv3-1423|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; towneri|species; none|subspecies; DSM 14962|strain(s)				6			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1424	202956			Acinetobacter towneri DSM 14969 (2N01)	Acinetobacter towneri		1424|rrnDBv3 strain_id; rrnDBv3-1424|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Proteobacteria|phylum; none|subphylum; Gammaproteobacteria|class; none|subclass; Pseudomonadales|order; none|suborder; Moraxellaceae|family; none|subfamily; Acinetobacter|genus; none|subgenus; towneri|species; none|subspecies; DSM 14969 (2N01)|strain(s)				7			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.	"""5.10"""
rrnDBv3-1425	1166			Anabaena flos-aquae PCC9302	Dolichospermum flos-aquae		1425|rrnDBv3 strain_id; rrnDBv3-1425|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Cyanobacteria|phylum; none|subphylum; Cyanobacteria|class; none|subclass; Nostocales|order; none|suborder; Nostocaceae|family; none|subfamily; Anabaena|genus; none|subgenus; flos-aquae|species; none|subspecies; PCC9302|strain(s)				5			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe			"""5.10"""
rrnDBv3-1426	1166			Anabaena flos-aquae PCC9332	Dolichospermum flos-aquae		1426|rrnDBv3 strain_id; rrnDBv3-1426|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Cyanobacteria|phylum; none|subphylum; Cyanobacteria|class; none|subclass; Nostocales|order; none|suborder; Nostocaceae|family; none|subfamily; Anabaena|genus; none|subgenus; flos-aquae|species; none|subspecies; PCC9332|strain(s)				5			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe			"""5.10"""
rrnDBv3-1427	1166			Anabaena flos-aquae PCC9349	Dolichospermum flos-aquae		1427|rrnDBv3 strain_id; rrnDBv3-1427|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Cyanobacteria|phylum; none|subphylum; Cyanobacteria|class; none|subclass; Nostocales|order; none|suborder; Nostocaceae|family; none|subfamily; Anabaena|genus; none|subgenus; flos-aquae|species; none|subspecies; PCC9349|strain(s)				5			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe			"""5.10"""
rrnDBv3-1428	165800			Anabaenopsis sp. PCC9215	Anabaenopsis sp. PCC 9215		1428|rrnDBv3 strain_id; rrnDBv3-1428|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Cyanobacteria|phylum; none|subphylum; Cyanobacteria|class; none|subclass; Nostocales|order; none|suborder; Nostocaceae|family; none|subfamily; Anabaenopsis|genus; none|subgenus; sp.|species; none|subspecies; PCC9215|strain(s)				4			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe		Iteman I, Rippka R, Tandeau de Marsac N, Herdman M. (2002). rDNA analyses of planktonic heterocystous cyanobacteria, including members of the genera Anabaenopsis and Cyanospira. Microbiology. 148(2):481-96.	"""5.10"""
rrnDBv3-1429	110103			Anabaenopsis sp. PCC9216	Anabaenopsis		1429|rrnDBv3 strain_id; rrnDBv3-1429|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Cyanobacteria|phylum; none|subphylum; Cyanobacteria|class; none|subclass; Nostocales|order; none|suborder; Nostocaceae|family; none|subfamily; Anabaenopsis|genus; none|subgenus; sp.|species; none|subspecies; PCC9216|strain(s)				4			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe			"""5.10"""
rrnDBv3-1430	156213			Anabaenopsis elenkinii PCC9420	Anabaenopsis elenkinii		1430|rrnDBv3 strain_id; rrnDBv3-1430|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Cyanobacteria|phylum; none|subphylum; Cyanobacteria|class; none|subclass; Nostocales|order; none|suborder; Nostocaceae|family; none|subfamily; Anabaenopsis|genus; none|subgenus; elenkinii|species; none|subspecies; PCC9420|strain(s)				4			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe			"""5.10"""
rrnDBv3-1431	110103			Anabaenopsis sp. PCC9608	Anabaenopsis		1431|rrnDBv3 strain_id; rrnDBv3-1431|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Cyanobacteria|phylum; none|subphylum; Cyanobacteria|class; none|subclass; Nostocales|order; none|suborder; Nostocaceae|family; none|subfamily; Anabaenopsis|genus; none|subgenus; sp.|species; none|subspecies; PCC9608|strain(s)				4			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe			"""5.10"""
rrnDBv3-1432	88824			Aphanizomenon flos-aquae PCC7905	Aphanizomenon flos-aquae PCC 7905		1432|rrnDBv3 strain_id; rrnDBv3-1432|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Cyanobacteria|phylum; none|subphylum; Cyanobacteria|class; none|subclass; Nostocales|order; none|suborder; Nostocaceae|family; none|subfamily; Aphanizomenon|genus; none|subgenus; flos-aquae|species; none|subspecies; PCC7905|strain(s)				5			Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe			"""5.10"""
rrnDBv3-1434	2714			Aquifex pyrophilus DSM 6858	Aquifex pyrophilus		1434|rrnDBv3 strain_id; rrnDBv3-1434|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Aquificae|phylum; none|subphylum; Aquificae|class; none|subclass; Aquificales|order; none|suborder; Aquificaceae|family; none|subfamily; Aquifex|genus; none|subgenus; pyrophilus|species; none|subspecies; DSM 6858|strain(s)			1600000	6	6		Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on 16S rRNA-encoding gene probe and ICeuI cut sites		Shao Z, Mages W, Schmitt R (1994). A physical map of the hyperthermophilic bacterium Aquifex pyrophilus chromosome. J Bacteriol. 176(21):6776-80.	"""5.10"""
rrnDBv3-1436	483216			Bacteroides eggerthii ATCC 27754	Bacteroides eggerthii DSM 20697		1436|rrnDBv3 strain_id; rrnDBv3-1436|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Bacteroidetes|phylum; none|subphylum; Bacteroidetes|class; none|subclass; Bacteroidales|order; none|suborder; Bacteroidaceae|family; none|subfamily; Bacteroides|genus; none|subgenus; eggerthii|species; none|subspecies; ATCC 27754|strain(s)			4401000		4		Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on I-CeuI digests		Shaheduzzaman SM, Akimoto S, Kuwahara T, Kinouchi T, Ohnishi Y (1997). Genome analysis of Bacteroides by pulsed-field gel electrophoresis: chromosome sizes and restriction patterns. DNA Res. 4(1):19-25.	"""5.10"""
rrnDBv3-1438	411476			Bacteroides ovatus ATCC 8483	Bacteroides ovatus ATCC 8483		1438|rrnDBv3 strain_id; rrnDBv3-1438|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Bacteroidetes|phylum; none|subphylum; Bacteroidetes|class; none|subclass; Bacteroidales|order; none|suborder; Bacteroidaceae|family; none|subfamily; Bacteroides|genus; none|subgenus; ovatus|species; none|subspecies; ATCC 8483|strain(s)			6674000		5		Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on I-CeuI digests		Shaheduzzaman SM, Akimoto S, Kuwahara T, Kinouchi T, Ohnishi Y (1997). Genome analysis of Bacteroides by pulsed-field gel electrophoresis: chromosome sizes and restriction patterns. DNA Res. 4(1):19-25.	"""5.10"""
rrnDBv3-1439	226186			Bacteroides thetaiotaomicron ATCC 29148	Bacteroides thetaiotaomicron VPI-5482		1439|rrnDBv3 strain_id; rrnDBv3-1439|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Bacteroidetes|phylum; none|subphylum; Bacteroidetes|class; none|subclass; Bacteroidales|order; none|suborder; Bacteroidaceae|family; none|subfamily; Bacteroides|genus; none|subgenus; thetaiotaomicron|species; none|subspecies; ATCC 29148|strain(s)			4693000		6		Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on I-CeuI digests.	VPI 5482 is also known as ATCC 29148	Shaheduzzaman SM, Akimoto S, Kuwahara T, Kinouchi T, Ohnishi Y (1997). Genome analysis of Bacteroides by pulsed-field gel electrophoresis: chromosome sizes and restriction patterns. DNA Res. 4(1):19-25.	"""5.10"""
rrnDBv3-1440	411479			Bacteroides uniformis ATCC 8492	Bacteroides uniformis ATCC 8492		1440|rrnDBv3 strain_id; rrnDBv3-1440|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Bacteroidetes|phylum; none|subphylum; Bacteroidetes|class; none|subclass; Bacteroidales|order; none|suborder; Bacteroidaceae|family; none|subfamily; Bacteroides|genus; none|subgenus; uniformis|species; none|subspecies; ATCC 8492|strain(s)			4804000		4		Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on I-CeuI digests		Shaheduzzaman SM, Akimoto S, Kuwahara T, Kinouchi T, Ohnishi Y (1997). Genome analysis of Bacteroides by pulsed-field gel electrophoresis: chromosome sizes and restriction patterns. DNA Res. 4(1):19-25.	"""5.10"""
rrnDBv3-1442	823			Bacteroides distasonis Takeda 1621	Parabacteroides distasonis		1442|rrnDBv3 strain_id; rrnDBv3-1442|rrnDBv4 equivilent record id; none|RDP_ID; Bacteria|domain; none|subdomain; Bacteroidetes|phylum; none|subphylum; Bacteroidetes|class; none|subclass; Bacteroidales|order; none|suborder; Bacteroidaceae|family; none|subfamily; Bacteroides|genus; none|subgenus; distasonis|species; none|subspecies; Takeda 1621|strain(s)			4817000		7		Zaraz M. Lee, et.al. (2009), PubMed PMID: 18948294	estimated based on I-CeuI digests		Shaheduzzaman SM, Akimoto S, Kuwahara T, Kinouchi T, Ohnishi Y (1997). Genome analysis of Bacteroides by pulsed-field gel electrophoresis: chromosome sizes and restriction patterns. DNA Res. 4(1):19-25.	"""5.10"""
