Data source record id,NCBI tax id,BioSample,BioProject,Data source organism name,NCBI scientific name,RDP taxa,Data source lineage,NCBI taxonomic lineage,RDP taxonomic lineage,basecount,16S gene count,23S gene count,tRNA gene count,Curator,Evidence,Note,References,rrnDB version
GCF_000007745.1,221988,SAMN02603473,PRJNA224116,[Mannheimia] succiniciproducens MBEL55E,[Mannheimia] succiniciproducens MBEL55E,Basfia (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Pasteurellales|order; Pasteurellaceae|family; Basfia|genus,NA,6,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000007765.2,227377,SAMN02603970,PRJNA57631,Coxiella burnetii RSA 493,Coxiella burnetii RSA 493,Coxiella (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Legionellales|order; Coxiellaceae|family; Coxiella|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000007805.1,223283,SAMN02604017,PRJNA224116,Pseudomonas syringae pv. tomato str. DC3000,Pseudomonas syringae pv. tomato str. DC3000,Pseudomonas (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Pseudomonadaceae|family; Pseudomonas|genus,NA,5,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000007905.1,235279,SAMN02604097,PRJNA224116,Helicobacter hepaticus ATCC 51449,Helicobacter hepaticus ATCC 51449,Helicobacter (genus),NA,NA,Bacteria|domain; Campylobacterota|phylum; Campylobacteria|class; Campylobacterales|order; Helicobacteraceae|family; Helicobacter|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000007985.2,243231,SAMN02603989,PRJNA224116,Geobacter sulfurreducens PCA,Geobacter sulfurreducens PCA,Geobacter (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Deltaproteobacteria|class; Desulfuromonadales|order; Geobacteraceae|family; Geobacter|genus,NA,2,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000008045.1,257363,SAMN02603327,PRJNA224116,Rickettsia typhi str. Wilmington,Rickettsia typhi str. Wilmington,Rickettsia (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Alphaproteobacteria|class; Rickettsiales|order; Rickettsiaceae|family; Rickettsia|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000008185.1,243275,SAMN02603967,PRJNA224116,Treponema denticola ATCC 35405,Treponema denticola ATCC 35405,Treponema (genus),NA,NA,Bacteria|domain; Spirochaetota|phylum; Spirochaetia|class; Spirochaetales|order; Treponemataceae|family; Treponema|genus,NA,2,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000008205.1,262719,SAMN02603526,PRJNA224116,Mesomycoplasma hyopneumoniae J,Mesomycoplasma hyopneumoniae J,Mesomycoplasma (genus),NA,NA,Bacteria|domain; Mycoplasmatota|phylum; Mollicutes|class; Mycoplasmoidales|order; Metamycoplasmataceae|family; Mesomycoplasma|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000008305.1,265311,SAMN03081416,PRJNA224116,Mesoplasma florum L1,Mesoplasma florum L1,Mesoplasma (genus),NA,NA,Bacteria|domain; Mycoplasmatota|phylum; Mollicutes|class; Entomoplasmatales|order; Entomoplasmataceae|family; Mesoplasma|genus,NA,2,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000008325.1,243233,SAMN02603968,PRJNA224116,Methylococcus capsulatus str. Bath,Methylococcus capsulatus str. Bath,Methylococcus (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Methylococcales|order; Methylococcaceae|family; Methylococcus|genus,NA,2,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000008365.1,267748,SAMN03081417,PRJNA224116,Mycoplasma mobile 163K,Mycoplasma mobile 163K,Mesomycoplasma (genus),NA,NA,Bacteria|domain; Mycoplasmatota|phylum; Mollicutes|class; Mycoplasmoidales|order; Metamycoplasmataceae|family; Mesomycoplasma|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000008385.1,292805,SAMN02603678,PRJNA224116,Wolbachia endosymbiont strain TRS of Brugia malayi,Wolbachia endosymbiont strain TRS of Brugia malayi,Anaplasma (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Alphaproteobacteria|class; Rickettsiales|order; Anaplasmataceae|family; Anaplasma|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000008445.1,261594,SAMN02603433,PRJNA224116,Bacillus anthracis str. 'Ames Ancestor',Bacillus anthracis str. 'Ames Ancestor',Bacillus (genus),NA,NA,Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Bacillaceae|family; Bacillus|genus,NA,11,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000008465.1,283942,SAMN02604184,PRJNA224116,Idiomarina loihiensis L2TR,Idiomarina loihiensis L2TR,Idiomarina (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Alteromonadales|order; Idiomarinaceae|family; Idiomarina|genus,NA,4,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000008625.1,224324,SAMN02603207,PRJNA224116,Aquifex aeolicus VF5,Aquifex aeolicus VF5,Aquifex (genus),NA,NA,Bacteria|domain; Aquificota|phylum; Aquificae|class; Aquificales|order; Aquificaceae|family; Aquifex|genus,NA,2,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000008725.1,272561,SAMN02603114,PRJNA57637,Chlamydia trachomatis D/UW-3/CX,Chlamydia trachomatis D/UW-3/CX,Chlamydia (genus),NA,NA,Bacteria|domain; Chlamydiota|phylum; Chlamydiia|class; Chlamydiales|order; Chlamydiaceae|family; Chlamydia|genus,NA,2,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000008865.2,386585,SAMN01911278,PRJNA57781,Escherichia coli O157:H7 str. Sakai,Escherichia coli O157:H7 str. Sakai,Escherichia/Shigella (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Enterobacterales|order; Enterobacteriaceae|family; Escherichia/Shigella|genus,NA,7,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000009045.1,224308,SAMEA3138188,PRJNA57675,Bacillus subtilis subsp. subtilis str. 168,Bacillus subtilis subsp. subtilis str. 168,Bacillus (genus),NA,NA,Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Bacillaceae|family; Bacillus|genus,NA,10,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000009085.1,192222,SAMEA1705929,PRJNA57587,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,Campylobacter (genus),NA,NA,Bacteria|domain; Campylobacterota|phylum; Campylobacteria|class; Campylobacterales|order; Campylobacteraceae|family; Campylobacter|genus,NA,3,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000009145.1,228410,SAMEA3138193,PRJNA224116,Nitrosomonas europaea ATCC 19718,Nitrosomonas europaea ATCC 19718,Nitrosomonas (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Betaproteobacteria|class; Nitrosomonadales|order; Nitrosomonadaceae|family; Nitrosomonas|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000009265.1,216596,SAMEA1705944,PRJNA224116,Rhizobium johnstonii 3841,Rhizobium johnstonii 3841,Rhizobium (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Alphaproteobacteria|class; Hyphomicrobiales|order; Rhizobiaceae|family; Rhizobium|genus,NA,3,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000009305.1,382638,SAMEA3138199,PRJNA224116,Helicobacter acinonychis str. Sheeba,Helicobacter acinonychis str. Sheeba,Helicobacter (genus),NA,NA,Bacteria|domain; Campylobacterota|phylum; Campylobacteria|class; Campylobacterales|order; Helicobacteraceae|family; Helicobacter|genus,NA,2,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000009365.1,393595,SAMEA3138202,PRJNA224116,Alcanivorax borkumensis SK2,Alcanivorax borkumensis SK2,Alcanivorax (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Oceanospirillales|order; Alcanivoracaceae|family; Alcanivorax|genus,NA,3,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000009765.2,227882,SAMD00061088,PRJNA224116,Streptomyces avermitilis MA-4680 = NBRC 14893,Streptomyces avermitilis MA-4680 = NBRC 14893,Streptomyces (genus),NA,NA,Bacteria|domain; Actinomycetota|phylum; Actinobacteria|class; Streptomycetales|order; Streptomycetaceae|family; Streptomyces|genus,NA,6,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000009785.1,235909,SAMD00061072,PRJNA224116,Geobacillus kaustophilus HTA426,Geobacillus kaustophilus HTA426,Geobacillus (genus),NA,NA,Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Bacillaceae|family; Geobacillus|genus,NA,9,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000009805.1,247156,SAMD00061069,PRJNA224116,Nocardia farcinica IFM 10152,Nocardia farcinica IFM 10152,Nocardia (genus),NA,NA,Bacteria|domain; Actinomycetota|phylum; Actinobacteria|class; Mycobacteriales|order; Nocardiaceae|family; Nocardia|genus,NA,3,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000009905.1,292459,SAMD00061067,PRJNA224116,Symbiobacterium thermophilum IAM 14863,Symbiobacterium thermophilum IAM 14863,Symbiobacterium (genus),NA,NA,Bacteria|domain; Bacillota|phylum; Clostridia|class; Eubacteriales|order; Symbiobacteriaceae|family; Symbiobacterium|genus,NA,6,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000009945.1,264202,SAMD00061108,PRJNA224116,Chlamydia felis Fe/C-56,Chlamydia felis Fe/C-56,Chlamydia (genus),NA,NA,Bacteria|domain; Chlamydiota|phylum; Chlamydiia|class; Chlamydiales|order; Chlamydiaceae|family; Chlamydia|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000009985.1,342108,SAMD00061077,PRJNA224116,Paramagnetospirillum magneticum AMB-1,Paramagnetospirillum magneticum AMB-1,Magnetospirillum (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Alphaproteobacteria|class; Rhodospirillales|order; Rhodospirillaceae|family; Magnetospirillum|genus,NA,2,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000010085.1,343509,SAMD00061079,PRJNA224116,Sodalis glossinidius str. 'morsitans',Sodalis glossinidius str. 'morsitans',Sodalis (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Enterobacterales|order; Pectobacteriaceae|family; Sodalis|genus,NA,7,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000010125.1,342451,SAMD00061076,PRJNA224116,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292,Staphylococcus (genus),NA,NA,Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Staphylococcaceae|family; Staphylococcus|genus,NA,6,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000010265.1,583346,SAMD00060959,PRJNA224116,Clostridium kluyveri NBRC 12016,Clostridium kluyveri NBRC 12016,Clostridium sensu stricto (genus),NA,NA,Bacteria|domain; Bacillota|phylum; Clostridia|class; Eubacteriales|order; Clostridiaceae 1|family; Clostridium sensu stricto|genus,NA,7,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000010305.1,379066,SAMD00060909,PRJNA224116,Gemmatimonas aurantiaca T-27,Gemmatimonas aurantiaca T-27,Gemmatimonas (genus),NA,NA,Bacteria|domain; Gemmatimonadota|phylum; Gemmatimonadia|class; Gemmatimonadales|order; Gemmatimonadaceae|family; Gemmatimonas|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000010405.1,412965,SAMD00060908,PRJNA224116,Candidatus Vesicomyosocius okutanii,Candidatus Vesicomyosocius okutanii,Gammaproteobacteria (class),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000010425.1,367928,SAMD00061080,PRJNA224116,Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis ATCC 15703,Bifidobacterium (genus),NA,NA,Bacteria|domain; Actinomycetota|phylum; Actinobacteria|class; Bifidobacteriales|order; Bifidobacteriaceae|family; Bifidobacterium|genus,NA,5,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000010505.1,431947,SAMD00060922,PRJNA224116,Porphyromonas gingivalis ATCC 33277,Porphyromonas gingivalis ATCC 33277,Porphyromonas (genus),NA,NA,Bacteria|domain; Bacteroidota|phylum; Bacteroidia|class; Bacteroidales|order; Porphyromonadaceae|family; Porphyromonas|genus,NA,4,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000010525.1,438753,SAMD00060925,PRJNA224116,Azorhizobium caulinodans ORS 571,Azorhizobium caulinodans ORS 571,Azorhizobium (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Alphaproteobacteria|class; Hyphomicrobiales|order; Xanthobacteraceae|family; Azorhizobium|genus,NA,3,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000010645.1,511995,SAMD00060940,PRJNA224116,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,Bacteroidales (order),NA,NA,Bacteria|domain; Bacteroidota|phylum; Bacteroidia|class; Bacteroidales|order,NA,2,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000010665.1,573370,SAMD00060954,PRJNA224116,Solidesulfovibrio magneticus RS-1,Solidesulfovibrio magneticus RS-1,Solidesulfovibrio (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Deltaproteobacteria|class; Desulfovibrionales|order; Desulfovibrionaceae|family; Solidesulfovibrio|genus,NA,3,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000010985.1,639282,SAMD00060965,PRJNA224116,Deferribacter desulfuricans SSM1,Deferribacter desulfuricans SSM1,Deferribacter (genus),NA,NA,Bacteria|domain; Deferribacterota|phylum; Deferribacteres|class; Deferribacterales|order; Deferribacteraceae|family; Deferribacter|genus,NA,2,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000011225.1,272633,SAMD00061084,PRJNA224116,Malacoplasma penetrans HF-2,Malacoplasma penetrans HF-2,Malacoplasma (genus),NA,NA,Bacteria|domain; Mycoplasmatota|phylum; Mollicutes|class; Mycoplasmoidales|order; Mycoplasmoidaceae|family; Malacoplasma|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000011245.1,221109,SAMD00061101,PRJNA224116,Oceanobacillus iheyensis HTE831,Oceanobacillus iheyensis HTE831,Oceanobacillus (genus),NA,NA,Bacteria|domain; Bacillota|phylum; Bacilli|class; Caryophanales|order; Bacillaceae|family; Oceanobacillus|genus,NA,7,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000011305.1,196164,SAMD00061103,PRJNA224116,Corynebacterium efficiens YS-314,Corynebacterium efficiens YS-314,Corynebacterium (genus),NA,NA,Bacteria|domain; Actinomycetota|phylum; Actinobacteria|class; Mycobacteriales|order; Corynebacteriaceae|family; Corynebacterium|genus,NA,5,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000011325.1,196627,SAMD00061105,PRJNA224116,Corynebacterium glutamicum ATCC 13032,Corynebacterium glutamicum ATCC 13032,Corynebacterium (genus),NA,NA,Bacteria|domain; Actinomycetota|phylum; Actinobacteria|class; Mycobacteriales|order; Corynebacteriaceae|family; Corynebacterium|genus,NA,6,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000011345.1,197221,SAMD00061106,PRJNA224116,Thermosynechococcus vestitus BP-1,Thermosynechococcus vestitus BP-1,Cyanophyceae (class),NA,NA,Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000011385.1,251221,SAMD00061120,PRJNA224116,Gloeobacter violaceus PCC 7421,Gloeobacter violaceus PCC 7421,Gloeobacter (genus),NA,NA,Bacteria|domain; Cyanobacteriota|phylum; Cyanophyceae|class; Gloeobacterales|order; Gloeobacteraceae|family; Gloeobacter|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000011565.2,264201,SAMEA3138214,PRJNA224116,Candidatus Protochlamydia amoebophila UWE25,Candidatus Protochlamydia amoebophila UWE25,Parachlamydia (genus),NA,NA,Bacteria|domain; Chlamydiota|phylum; Chlamydiia|class; Chlamydiales|order; Parachlamydiaceae|family; Parachlamydia|genus,NA,3,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000011745.1,291272,SAMN02603465,PRJNA224116,Candidatus Blochmanniella pennsylvanica str. BPEN,Candidatus Blochmanniella pennsylvanica str. BPEN,Pectobacteriaceae (family),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Enterobacterales|order; Pectobacteriaceae|family,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000011805.1,312309,SAMN02604303,PRJNA224116,Aliivibrio fischeri ES114,Aliivibrio fischeri ES114,Aliivibrio (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Vibrionales|order; Vibrionaceae|family; Aliivibrio|genus,NA,12,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000011905.1,243164,SAMN02603990,PRJNA224116,Dehalococcoides mccartyi 195,Dehalococcoides mccartyi 195,Dehalococcoides (genus),NA,NA,Bacteria|domain; Chloroflexota|phylum; Dehalococcoidia|class; Dehalococcoidales|order; Dehalococcoidaceae|family; Dehalococcoides|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000011965.2,246200,SAMN02604003,PRJNA224116,Ruegeria pomeroyi DSS-3,Ruegeria pomeroyi DSS-3,Ruegeria (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Alphaproteobacteria|class; Rhodobacterales|order; Roseobacteraceae|family; Ruegeria|genus,NA,3,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000012085.2,314724,SAMN02603508,PRJNA224116,Borrelia turicatae 91E135,Borrelia turicatae 91E135,Borrelia (genus),NA,NA,Bacteria|domain; Spirochaetota|phylum; Spirochaetia|class; Spirochaetales|order; Borreliaceae|family; Borrelia|genus,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000012305.1,259536,SAMN02598544,PRJNA224116,Psychrobacter arcticus 273-4,Psychrobacter arcticus 273-4,Psychrobacter (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Pseudomonadales|order; Moraxellaceae|family; Psychrobacter|genus,NA,4,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000012325.1,167879,SAMN02604001,PRJNA224116,Colwellia psychrerythraea 34H,Colwellia psychrerythraea 34H,Colwellia (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Gammaproteobacteria|class; Alteromonadales|order; Colwelliaceae|family; Colwellia|genus,NA,9,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000012345.1,335992,SAMN02603690,PRJNA224116,Candidatus Pelagibacter ubique HTCC1062,Candidatus Pelagibacter ubique HTCC1062,Alphaproteobacteria (class),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Alphaproteobacteria|class,NA,1,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
GCF_000012365.1,271848,SAMN02604021,PRJNA224116,Burkholderia thailandensis E264,Burkholderia thailandensis E264,Burkholderia (genus),NA,NA,Bacteria|domain; Pseudomonadota|phylum; Betaproteobacteria|class; Burkholderiales|order; Burkholderiaceae|family; Burkholderia|genus,NA,4,NA,NA,NA,Machine processing of NCBI genome assembly data.,NA,NA,"""5.10"""
